Id;Imie;Nazwisko;Stopien
103;Natasza;Pacholik;Kapral
104;Sandra;Rymarz;Porucznik
105;Tobiasz;Choros;Kapitan
106;Dominik;Wazna;Major
107;Aleksander;Mazepa;Major
108;Blanka;Sierzant;Major
109;Adam;Jargielo;Major
110;Justyna;Skowyra;Kapral
111;Bartek;Trzos;Podporucznik
112;Piotr;Bres;Major
113;Sonia;Andryszczyk;Kapitan
114;Ksawery;Cebo;Porucznik
115;Janina;Thomas;Podporucznik
116;Nicole;Wysota;Major
117;Radoslaw;Krolczyk;Kapral
118;Janina;Kryk;Porucznik
119;Stanislaw;Dering;Porucznik
120;Alex;Zysk;Podporucznik
121;Marcel;Humeniuk;Kapitan
122;Jeremi;Golus;Kapral
123;Ernest;Pabisiak;Kapral
124;Angelika;Olszyna;Major
125;Leonard;Pruchnik;Kapral
126;Dariusz;Leszczuk;Porucznik
127;Julita;Szalata;Podporucznik
128;Kornel;Ostafin;Kapral
129;Ada;Rejek;Podporucznik
130;Leonard;Snoch;Kapitan
131;Tobiasz;Kunysz;Kapitan
132;Dorota;Barankiewicz;Kapral
133;Krzysztof;Mazek;Kapitan
134;Olgierd;Serzysko;Szeregowy
135;Gustaw;Materek;Major
136;Krzysztof;Muc;Podporucznik
137;Gaja;Trepka;Podporucznik
138;Janina;Serwach;Kapitan
139;Elzbieta;Doroz;Porucznik
140;Marcin;Janoszek;Kapitan
141;Lukasz;Wieczerzak;Porucznik
142;Ada;Prokopiak;Major
143;Jeremi;Hajduga;Major
144;Jan;Fitas;Major
145;Norbert;Janczura;Podporucznik
146;Tola;Siedlaczek;Kapral
147;Bianka;Jamroz;Kapral
148;Dariusz;Damek;Kapitan
149;Ignacy;Krzan;Kapral
150;Eliza;Pielach;Porucznik
151;Aleksander;Olearczyk;Szeregowy
152;Kornel;Dudzicz;Major
153;Krystyna;Wojaczek;Podporucznik
154;Maurycy;Fiedler;Podporucznik
155;Nicole;Waszczyk;Porucznik
156;Marcin;Feret;Porucznik
157;Michal;Scieszka;Kapitan
158;Sara;Jargilo;Szeregowy
159;Krzysztof;Kupaj;Szeregowy
160;Kornel;Grzenia;Szeregowy
161;Eryk;Pasnik;Podporucznik
162;Agnieszka;Janic;Kapral
163;Artur;Salawa;Podporucznik
164;Wojciech;Listwan;Podporucznik
165;Wojciech;Bartela;Porucznik
166;Maurycy;Belz;Szeregowy
167;Norbert;Pszczolka;Kapral
168;Natan;Borysiuk;Szeregowy
169;Melania;Dzikiewicz;Podporucznik
170;Maurycy;Kudela;Major
171;Dominik;Brzykcy;Major
172;Cezary;Danisz;Kapral
173;Rafal;Kulisz;Szeregowy
174;Ewa;Klimko;Major
175;Patryk;Kosciesza;Podporucznik
176;Karol;Bas;Major
177;Ewa;Kosalka;Kapral
178;Emil;Reichel;Porucznik
179;Maksymilian;Slon;Kapral
180;Nikodem;Groth;Major
181;Oliwier;Duczmal;Szeregowy
182;Jan;Cholewka;Kapitan
183;Fryderyk;Tulacz;Major
184;Jakub;Gregorowicz;Kapral
185;Konrad;Buchholz;Kapitan
186;Oliwier;Slon;Kapral
187;Melania;Wawrzynczyk;Major
188;Karina;Sajnog;Porucznik
189;Jan;Smetek;Porucznik
190;Aleksander;Patora;Kapral
191;Przemyslaw;Irzyk;Major
192;Mikolaj;Zal;Podporucznik
193;Marek;Kurczab;Kapitan
194;Anastazja;Cimoch;Szeregowy
195;Arkadiusz;Kalota;Kapitan
196;Leon;Durlak;Kapral
197;Marianna;Sadoch;Porucznik
198;Mieszko;Merchel;Kapitan
199;Grzegorz;Oleszko;Major
200;Maurycy;Trzepizur;Major
